smiles	randomized_smiles
Cc1cc(C(=O)N2[C@H]3CC[C@@H]2C[C@H](NC(=O)CC(C)(C)C(=O)OC(C)(C)C)C3)c2cc(O)ccc2n1	[C@H]12CC[C@H](C[C@H](NC(CC(C)(C)C(OC(C)(C)C)=O)=O)C1)N2C(c1c2cc(O)ccc2nc(C)c1)=O
COCCOc1cc(NC(=O)N2CCC[C@H](C(=O)c3ccc(F)cc3)C2)ccc1OC	c1cc(NC(=O)N2C[C@@H](C(=O)c3ccc(F)cc3)CCC2)cc(OCCOC)c1OC
COc1ccc(OC)c([C@@H](O)CN2CC(C(=O)O)C2)c1	O(C)c1ccc(OC)c([C@@H](O)CN2CC(C(=O)O)C2)c1
C#CCCC[C@H](NC(=O)OC(C)(C)C)C(=O)N[C@@H]1C[C@@H]2CC[C@H](C1)N2C(=O)[C@@H](C)CS(C)(=O)=O	C#CCCC[C@H](NC(=O)OC(C)(C)C)C(=O)N[C@H]1C[C@H]2CC[C@@H](C1)N2C(=O)[C@H](CS(C)(=O)=O)C
C[C@@H](c1cc(F)ccc1F)N(C)c1nnc(CC2CC2)n1CC1C[C@@H](C)O[C@H](C)C1	C[C@H]1O[C@H](C)CC(Cn2c(N([C@@H](C)c3cc(F)ccc3F)C)nnc2CC2CC2)C1
Cc1cc(C(=O)NS(=O)(=O)c2cc(C(=O)C3CC3)ccc2Cl)c(C)s1	Clc1ccc(C(=O)C2CC2)cc1S(NC(=O)c1cc(C)sc1C)(=O)=O
CC[C@@H](F)C(=O)N1CC[C@@H]2CN(C(=O)c3cc(F)ccc3Cl)[C@@H]2C1	c1c(F)cc(C(=O)N2[C@@H]3CN(C([C@H](F)CC)=O)CC[C@@H]3C2)c(Cl)c1
C[C@H](N)C(=O)N[C@@H](C)C(=O)NC[C@@H]1CCN[C@H]1c1cccnc1	[C@H]1(CNC([C@H](C)NC(=O)[C@H](C)N)=O)[C@H](c2cccnc2)NCC1
CCc1cccc(COC(=O)CCCn2ccccc2=O)c1	C(c1cccc(CC)c1)OC(=O)CCCn1c(=O)cccc1
C[C@H](c1cccc(N2CCCS2(=O)=O)c1)N(C)C(=O)N[C@@H]1[C@H]2[C@H]3CC[C@@H](C3)[C@H]21	c1(N2CCCS2(=O)=O)cc([C@@H](C)N(C(N[C@H]2[C@H]3[C@@H]2[C@@H]2C[C@@H]3CC2)=O)C)ccc1
Cc1cc(CN2C[C@H]3CC[C@H]2CN3C)cc(C)c1Cl	C1[C@H]2CC[C@H](N1Cc1cc(C)c(Cl)c(C)c1)CN2C
C[C@@H](CCCO)NC(=O)C(=O)Nc1cc(C(=O)O)ccc1N1CCCC1	C1N(c2c(NC(C(N[C@H](CCCO)C)=O)=O)cc(C(=O)O)cc2)CCC1
CC[C@@H](C)CCC(=O)N[C@H]1C[C@H](NC(=O)C2=CCCC2)C1	C(C(N[C@H]1C[C@H](NC(C2=CCCC2)=O)C1)=O)C[C@@H](CC)C
C[C@@H]1CSC[C@@H]1N[C@H]1CCCOC1	C[C@H]1[C@@H](N[C@@H]2COCCC2)CSC1
